frame,t_s,kind,tid,x_cm,y_cm
307,10.233,verde,3,73.0,57.5
307,10.233,verde,9,-2.5,167.5
307,10.233,oscuro,7,0.5,235.5
308,10.267,verde,3,73.0,57.5
308,10.267,verde,9,-2.5,167.5
308,10.267,oscuro,7,0.5,235.5
309,10.3,verde,3,72.5,58.5
309,10.3,oscuro,7,0.5,236.0
309,10.3,verde,9,-2.5,167.5
310,10.333,verde,3,71.5,61.5
310,10.333,oscuro,7,1.0,232.0
310,10.333,oscuro,9,-2.5,167.5
311,10.367,verde,3,71.5,61.5
311,10.367,oscuro,7,1.0,232.0
311,10.367,oscuro,9,-2.5,167.5
312,10.4,verde,3,71.5,62.0
312,10.4,oscuro,7,1.0,230.5
312,10.4,oscuro,9,-2.5,168.0
313,10.433,verde,3,71.5,62.0
313,10.433,oscuro,7,1.5,225.0
313,10.433,oscuro,9,-2.5,171.0
314,10.467,verde,3,71.5,62.0
314,10.467,oscuro,7,1.5,225.0
314,10.467,oscuro,9,-2.5,171.0
315,10.5,verde,3,71.5,62.0
315,10.5,oscuro,9,-2.5,172.5
315,10.5,oscuro,7,1.5,224.5
316,10.533,verde,3,71.5,61.0
316,10.533,oscuro,7,1.0,224.5
316,10.533,oscuro,9,-3.0,173.5
317,10.567,verde,3,72.0,60.0
317,10.567,oscuro,7,0.5,225.0
317,10.567,oscuro,9,-3.5,174.5
318,10.6,verde,3,72.0,60.0
318,10.6,oscuro,7,0.0,226.0
319,10.633,verde,3,72.0,59.0
319,10.633,oscuro,7,0.0,227.5
320,10.667,verde,3,72.5,58.5
320,10.667,oscuro,7,-0.5,229.0
321,10.7,verde,3,72.5,57.5
321,10.7,oscuro,7,-1.0,231.0
322,10.733,verde,3,73.0,57.0
322,10.733,oscuro,7,-1.5,232.0
323,10.767,verde,3,73.0,56.5
323,10.767,oscuro,7,-1.5,232.5
324,10.8,verde,3,73.5,56.0
324,10.8,oscuro,7,-1.5,232.5
325,10.833,verde,3,73.5,55.0
325,10.833,oscuro,7,-1.5,232.5
326,10.867,verde,3,73.5,54.5
326,10.867,oscuro,7,-1.5,232.5
327,10.9,verde,3,74.0,54.0
327,10.9,oscuro,7,-1.0,232.0
328,10.933,verde,3,74.5,53.5
328,10.933,oscuro,7,0.0,231.0
329,10.967,verde,3,74.0,53.0
329,10.967,oscuro,7,0.0,229.5
330,11.0,verde,3,74.0,53.5
330,11.0,oscuro,7,0.5,229.0
331,11.033,verde,3,73.5,53.5
331,11.033,oscuro,7,1.0,229.5
332,11.067,verde,3,73.0,55.0
332,11.067,verde,10,0.5,175.5
332,11.067,oscuro,7,0.5,230.5
333,11.1,verde,3,72.5,56.5
333,11.1,verde,10,0.5,175.5
333,11.1,oscuro,7,0.5,231.0
334,11.133,verde,3,71.5,57.0
334,11.133,verde,10,0.5,176.5
334,11.133,oscuro,7,0.5,231.5
335,11.167,verde,3,71.0,58.5
335,11.167,verde,10,1.0,177.0
335,11.167,oscuro,7,0.0,233.0
336,11.2,verde,3,70.5,60.0
336,11.2,verde,10,1.5,178.5
336,11.2,oscuro,7,0.0,234.5
337,11.233,verde,3,70.5,62.0
337,11.233,verde,10,1.5,180.0
337,11.233,oscuro,7,-0.5,236.0
338,11.267,verde,3,70.5,62.5
338,11.267,verde,10,1.5,182.0
338,11.267,oscuro,7,-1.0,237.5
339,11.3,verde,3,70.5,62.5
339,11.3,verde,10,1.5,183.0
339,11.3,oscuro,7,-1.5,239.0
340,11.333,verde,3,70.5,62.0
340,11.333,verde,10,1.5,185.0
340,11.333,oscuro,7,-1.5,240.0
341,11.367,verde,10,1.5,186.0
341,11.367,verde,3,70.5,61.0
341,11.367,oscuro,7,-1.5,240.0
342,11.4,verde,3,70.5,60.5
342,11.4,verde,10,1.5,188.0
342,11.4,oscuro,7,-1.5,240.0
343,11.433,verde,3,70.5,60.0
343,11.433,verde,10,2.0,189.5
343,11.433,oscuro,7,-1.0,239.0
344,11.467,verde,3,70.5,59.5
344,11.467,verde,10,2.0,191.0
345,11.5,verde,3,71.0,58.5
345,11.5,verde,10,2.0,193.0
345,11.5,oscuro,7,0.0,236.5
346,11.533,verde,3,71.0,58.0
346,11.533,verde,10,2.0,194.5
346,11.533,oscuro,7,0.0,235.5
346,11.533,balon,-1,0.0,219.0
347,11.567,verde,3,71.5,57.5
347,11.567,verde,10,2.5,196.5
347,11.567,oscuro,7,0.5,236.0
348,11.6,verde,3,71.5,57.0
348,11.6,verde,10,2.5,197.5
348,11.6,oscuro,7,0.5,234.0
348,11.6,balon,-1,0.5,215.0
349,11.633,verde,3,72.0,56.5
349,11.633,verde,10,2.5,199.5
349,11.633,oscuro,7,1.0,233.0
350,11.667,verde,3,72.5,56.0
350,11.667,verde,10,3.0,201.5
350,11.667,oscuro,7,1.5,231.5
351,11.7,verde,10,3.0,203.0
351,11.7,verde,3,72.5,55.5
351,11.7,verde,7,1.5,229.0
352,11.733,verde,3,73.0,54.5
352,11.733,verde,10,3.5,205.0
352,11.733,oscuro,7,1.5,228.0
353,11.767,verde,10,3.5,205.5
353,11.767,verde,3,73.0,53.5
353,11.767,oscuro,7,1.5,227.5
354,11.8,verde,10,4.0,208.0
354,11.8,verde,3,73.5,53.5
354,11.8,oscuro,7,1.0,228.0
355,11.833,verde,3,73.5,53.5
355,11.833,verde,10,4.0,209.5
356,11.867,verde,3,73.0,53.0
356,11.867,verde,10,4.0,210.5
357,11.9,verde,3,72.0,54.5
357,11.9,verde,10,4.5,211.0
358,11.933,verde,3,71.5,55.5
358,11.933,verde,10,5.0,211.5
358,11.933,oscuro,7,1.5,231.0
359,11.967,verde,3,70.5,56.0
359,11.967,verde,10,5.0,213.0
359,11.967,oscuro,7,1.5,231.5
360,12.0,verde,3,70.5,57.5
360,12.0,verde,10,5.5,214.0
360,12.0,oscuro,7,1.5,232.5
361,12.033,verde,3,70.0,58.5
361,12.033,verde,10,5.5,216.0
361,12.033,oscuro,7,1.0,233.5
362,12.067,verde,3,69.5,60.5
362,12.067,verde,10,5.5,217.0
363,12.1,verde,10,6.0,219.5
363,12.1,verde,3,69.5,62.0
364,12.133,verde,3,69.5,62.5
364,12.133,verde,10,6.0,220.0
365,12.167,verde,3,69.0,62.5
365,12.167,verde,10,6.5,222.0
365,12.167,balon,-1,1.0,199.0
366,12.2,verde,3,69.0,62.0
366,12.2,verde,10,6.5,223.0
367,12.233,verde,3,69.0,61.5
367,12.233,verde,10,6.5,225.0
368,12.267,verde,3,69.5,61.0
368,12.267,verde,10,7.0,226.5
368,12.267,balon,-1,2.5,204.0
369,12.3,verde,3,69.5,60.0
369,12.3,balon,-1,3.0,205.5
370,12.333,verde,3,69.5,59.5
370,12.333,balon,-1,3.0,207.0
371,12.367,verde,3,69.5,59.5
371,12.367,balon,-1,5.0,208.0
372,12.4,verde,3,70.0,59.0
373,12.433,verde,3,70.5,57.5
373,12.433,balon,-1,9.0,207.5
374,12.467,verde,3,70.5,57.0
375,12.5,verde,3,70.5,56.0
376,12.533,verde,3,71.0,55.5
377,12.567,verde,3,71.0,55.0
378,12.6,verde,3,71.0,54.0
379,12.633,verde,3,71.5,53.0
380,12.667,verde,3,72.0,53.5
380,12.667,balon,-1,12.5,206.0
381,12.7,verde,3,71.5,53.0
381,12.7,balon,-1,11.5,205.5
382,12.733,verde,3,71.5,53.5
383,12.767,verde,3,71.0,54.5
384,12.8,verde,3,70.5,55.5
385,12.833,verde,3,70.0,57.0
386,12.867,verde,3,69.5,58.5
386,12.867,balon,-1,11.5,206.5
387,12.9,verde,3,69.0,59.5
388,12.933,verde,3,69.0,61.0
388,12.933,oscuro,11,-4.0,234.0
388,12.933,balon,-1,13.0,207.5
389,12.967,verde,3,68.5,62.0
389,12.967,balon,-1,12.0,207.5
390,13.0,verde,3,68.5,63.0
391,13.033,verde,3,68.5,62.5
392,13.067,verde,3,68.5,62.0
393,13.1,verde,3,68.5,61.5
394,13.133,verde,3,68.5,61.0
394,13.133,oscuro,11,-1.0,234.0
394,13.133,balon,-1,15.5,209.0
395,13.167,verde,3,69.0,60.5
395,13.167,oscuro,11,-1.5,234.5
395,13.167,balon,-1,17.0,209.5
396,13.2,verde,3,69.0,59.5
396,13.2,verde,12,20.5,238.0
396,13.2,oscuro,11,-1.5,235.5
396,13.2,balon,-1,16.5,210.5
397,13.233,verde,3,69.0,59.0
397,13.233,oscuro,11,-2.0,236.5
397,13.233,verde,12,20.0,238.5
397,13.233,balon,-1,15.5,211.0
398,13.267,verde,3,69.0,59.0
398,13.267,oscuro,11,-2.0,237.0
398,13.267,verde,12,20.0,237.5
398,13.267,balon,-1,15.0,211.5
399,13.3,verde,3,69.5,58.5
399,13.3,oscuro,11,-2.0,237.0
399,13.3,verde,12,20.0,237.5
400,13.333,verde,3,69.5,57.0
400,13.333,oscuro,11,-2.0,237.5
